Phase,Loss,Accuracy
val,1.1527299582958221,0.625
val,1.1456795036792755,0.59375
val,1.0410801470279694,0.625
val,0.628252848982811,0.71875
val,1.5701874494552612,0.4375
val,1.2707731872797012,0.65625
val,2.0607911199331284,0.53125
val,1.2137939929962158,0.5
val,0.7918980717658997,0.65625
val,0.6132079809904099,0.75
val,0.5611744225025177,0.78125
val,0.590109683573246,0.75
val,0.7088514566421509,0.75
val,0.6878648847341537,0.78125
val,0.7485428303480148,0.75
val,0.7483759000897408,0.75
val,0.6847577840089798,0.75
val,0.703271895647049,0.75
val,0.6997710168361664,0.78125
val,0.8181285560131073,0.75
val,0.6569340117275715,0.78125
val,0.7473735064268112,0.75
val,0.7431483268737793,0.75
val,0.7244082242250443,0.75
val,0.7621053755283356,0.75
val,0.7727747038006783,0.75
val,0.7014756202697754,0.75
val,0.6318928152322769,0.78125
val,0.6475473493337631,0.78125
val,0.7042368054389954,0.75
val,0.7668570578098297,0.75
val,0.8084012866020203,0.71875
val,0.6383350789546967,0.8125
val,0.700090654194355,0.78125
val,0.7921086177229881,0.71875
val,0.7634387910366058,0.75
val,0.7102983146905899,0.78125
val,0.7378321215510368,0.75
val,0.6733958572149277,0.78125
val,0.6506612151861191,0.78125
val,0.721769642084837,0.8125
val,0.6820566803216934,0.75
val,0.6371408253908157,0.78125
val,0.782026007771492,0.75
val,0.6767898127436638,0.75
val,0.7992629110813141,0.75
val,0.7272199466824532,0.75
val,0.7533126622438431,0.75
val,0.8011274337768555,0.71875
val,0.8499360829591751,0.6875
val,0.698818750679493,0.78125
val,0.7626122608780861,0.75
val,0.7864144667983055,0.71875
val,0.698761522769928,0.78125
val,0.7572060897946358,0.75
val,0.7543298900127411,0.75
val,0.7558599449694157,0.78125
val,0.6296043619513512,0.8125
val,0.710968904197216,0.78125
val,0.7184593379497528,0.75
val,0.6993807181715965,0.75
val,0.6692166775465012,0.78125
val,0.7041425481438637,0.78125
val,0.662530243396759,0.75
val,0.6463360786437988,0.78125
val,0.7605359107255936,0.75
val,0.7723259180784225,0.75
val,0.7634193934500217,0.75
val,0.7004311382770538,0.78125
val,0.7274402491748333,0.78125
val,0.7258382141590118,0.78125
val,0.7372751384973526,0.78125
val,0.698009118437767,0.8125
val,0.6824780032038689,0.8125
val,0.7361248172819614,0.75
val,0.7258377522230148,0.78125
val,0.6996994391083717,0.75
val,0.6718538030982018,0.78125
val,0.7520390450954437,0.78125
val,0.6261433362960815,0.78125
val,0.7756914272904396,0.75
val,0.8097142763435841,0.78125
val,0.7880412116646767,0.75
val,0.7096650525927544,0.8125
val,0.6595335453748703,0.75
val,0.8291476219892502,0.71875
val,0.8098871633410454,0.71875
val,0.7317758798599243,0.78125
val,0.6341894939541817,0.75
val,0.7482644617557526,0.78125
val,0.6413657069206238,0.78125
val,0.8264955133199692,0.75
val,0.6524922773241997,0.78125
val,0.7495360374450684,0.75
val,0.6867493167519569,0.75
val,0.6666346937417984,0.8125
val,0.648365244269371,0.8125
val,0.848419301211834,0.71875
val,0.7337141782045364,0.75
val,0.7062738686800003,0.75
val,0.6789841204881668,0.78125
val,0.727262333035469,0.75
val,0.7140174433588982,0.78125
val,0.7947636544704437,0.75
