time,open,high,low,close,volume,ticker
2012-01-05,3270,3450,3250,3330,344100,ACB
2012-01-05,3270,3450,3250,3330,344100,ACB
2012-01-06,3330,3330,3250,3270,233100,ACB
2012-01-09,3270,3270,3230,3250,123000,ACB
2012-01-10,3250,3300,3250,3270,47300,ACB
2012-01-11,3270,3300,3250,3270,158900,ACB
2012-01-12,3270,3280,3250,3270,77400,ACB
2012-01-13,3270,3300,3250,3270,83200,ACB
2012-01-16,3270,3330,3270,3300,144000,ACB
2012-01-17,3270,3350,3270,3330,215300,ACB
2012-01-18,3330,3370,3330,3350,86600,ACB
2012-01-19,3380,3430,3380,3420,137500,ACB
2012-01-20,3430,3480,3420,3430,129500,ACB
2012-01-30,3580,3580,3450,3480,91900,ACB
2012-01-31,3500,3570,3480,3550,209100,ACB
2012-02-01,3570,3570,3480,3520,154400,ACB
2012-02-02,3520,3680,3520,3600,254600,ACB
2012-02-03,3680,3680,3430,3580,216300,ACB
2012-02-06,3600,3600,3570,3580,137900,ACB
2012-02-07,3600,3770,3600,3740,607800,ACB
2012-02-08,3680,3850,3680,3820,510700,ACB
2012-02-09,3790,4050,3770,3950,1153700,ACB
2012-02-10,3950,4000,3850,3920,393700,ACB
2012-02-13,3900,3900,3720,3790,446900,ACB
2012-02-14,3720,3750,3620,3650,498500,ACB
2012-02-15,3650,3680,3500,3550,425300,ACB
2012-02-16,3550,3580,3520,3550,507500,ACB
2012-02-17,3570,3620,3570,3600,541000,ACB
2012-02-20,3620,3840,3620,3750,850100,ACB
2012-02-21,3940,4000,3750,3800,468700,ACB
2012-02-22,3800,3900,3740,3840,577700,ACB
2012-02-23,3870,3900,3790,3850,769300,ACB
2012-02-24,3850,3920,3840,3870,995200,ACB
2012-02-27,3850,3950,3840,3900,667700,ACB
2012-02-28,3990,3990,3840,3900,831500,ACB
2012-02-29,3850,3950,3850,3890,669400,ACB
2012-03-01,3940,4150,3940,4090,1927000,ACB
2012-03-02,4190,4370,4190,4360,2678000,ACB
2012-03-05,4420,4660,4420,4660,2220300,ACB
2012-03-06,4690,4970,4510,4690,1911800,ACB
2012-03-07,4520,4520,4370,4410,1469700,ACB
2012-03-08,4120,4340,4100,4200,1550100,ACB
2012-03-09,4100,4240,3990,4100,1298200,ACB
2012-03-12,4120,4120,3990,4019,845400,ACB
2012-03-13,4019,4170,4019,4100,464500,ACB
2012-03-14,4190,4200,4050,4100,493200,ACB
2012-03-15,4120,4260,4050,4150,791100,ACB
2012-03-16,4420,4420,4220,4290,817700,ACB
2012-03-19,4270,4300,4150,4200,610200,ACB
2012-03-20,4270,4360,4220,4290,862200,ACB
2012-03-21,4290,4370,4240,4340,1608000,ACB
2012-03-22,4360,4360,4260,4290,578600,ACB
2012-03-23,4290,4340,4260,4300,1402600,ACB
2012-03-26,4370,4390,4300,4320,1228700,ACB
2012-03-27,4320,4320,4190,4200,1317900,ACB
2012-03-28,4170,4220,4120,4190,1161200,ACB
2012-03-29,4220,4220,4040,4140,1103100,ACB
2012-03-30,4120,4150,4100,4140,784200,ACB
2012-04-03,4140,4200,4120,4200,321500,ACB
2012-04-04,4240,4240,4140,4150,309000,ACB
2012-04-05,4170,4240,4140,4220,427200,ACB
2012-04-06,4260,4270,4220,4240,948100,ACB
2012-04-09,4260,4270,4240,4270,674100,ACB
2012-04-10,4270,4270,4190,4200,513200,ACB
2012-04-11,4220,4320,4220,4270,743400,ACB
2012-04-12,4300,4470,4290,4410,2167400,ACB
2012-04-13,4440,4440,4320,4360,718200,ACB
2012-04-16,4360,4460,4320,4410,580500,ACB
2012-04-17,4390,4460,4360,4410,759500,ACB
2012-04-18,4370,4420,4300,4320,1107200,ACB
2012-04-19,4320,4320,4240,4260,862500,ACB
2012-04-20,4260,4270,4220,4260,657600,ACB
2012-04-23,4540,4540,4220,4300,355200,ACB
2012-04-24,4300,4320,4270,4300,152900,ACB
