,time,open,high,low,close,volume,ticker
0,2018-03-06,16690,17460,16020,16980,14922100,POW
1,2018-03-06,16690,17460,16020,16980,14922100,POW
2,2018-03-06,16690,17460,16020,16980,14922100,POW
3,2018-03-06,16690,17460,16020,16980,14922100,POW
4,2018-03-06,16690,17460,16020,16980,14922100,POW
5,2018-03-06,16690,17460,16020,16980,14922100,POW
6,2018-03-06,16690,17460,16020,16980,14922100,POW
7,2018-03-06,16690,17460,16020,16980,14922100,POW
8,2018-03-06,16690,17460,16020,16980,14922100,POW
9,2018-03-07,17360,17360,15740,16020,7174392,POW
10,2018-03-08,16410,16690,15930,16410,6824944,POW
11,2018-03-09,16309,16790,16309,16690,5309486,POW
12,2018-03-12,16880,16880,16410,16500,4343745,POW
13,2018-03-13,16500,16600,16309,16410,4454169,POW
14,2018-03-14,16410,16500,16120,16219,4455422,POW
15,2018-03-15,16309,16309,15840,15930,3704865,POW
16,2018-03-16,15930,16410,15930,16309,3923430,POW
17,2018-03-19,16410,16500,16020,16219,2652660,POW
18,2018-03-20,16219,16219,15930,15930,2469883,POW
19,2018-03-21,16219,16219,15930,15930,1929052,POW
20,2018-03-22,16020,16020,15260,15550,3131060,POW
21,2018-03-23,15260,15450,14880,15360,3356387,POW
22,2018-03-26,15260,15260,14880,14980,1932826,POW
23,2018-03-27,14980,15070,14880,14880,1055477,POW
24,2018-03-28,14880,14980,14780,14880,1694196,POW
25,2018-03-29,14980,15840,14880,15450,2103906,POW
26,2018-03-30,15550,15930,15450,15840,2354364,POW
27,2018-04-02,15840,16020,15640,15840,2577643,POW
28,2018-04-03,15840,15840,15260,15450,2257070,POW
29,2018-04-04,15740,16120,15450,15640,2402101,POW
30,2018-04-05,15740,15840,15360,15450,1725227,POW
31,2018-04-06,15450,15550,15170,15360,1731257,POW
32,2018-04-09,15360,15360,14980,15260,1733995,POW
33,2018-04-10,15170,15360,14980,15170,1485078,POW
34,2018-04-11,15170,15260,14600,14880,2053300,POW
35,2018-04-12,14880,14980,14780,14980,977010,POW
36,2018-04-13,14880,14980,14600,14880,1503780,POW
37,2018-04-16,14980,15170,14600,14780,1698800,POW
38,2018-04-17,14780,14880,14600,14880,742496,POW
39,2018-04-18,14880,14880,14310,14400,1683810,POW
40,2018-04-19,14500,14500,13830,13930,2236680,POW
41,2018-04-20,13830,14020,13540,13930,1461117,POW
42,2018-04-23,14020,14120,12780,13540,859630,POW
43,2018-04-24,13540,13640,13070,13160,1109190,POW
44,2018-04-26,13740,13830,12880,12970,2116175,POW
45,2018-04-27,13160,13160,12780,12970,1100812,POW
