no,time,open,high,low,close,volume,ticker
0,2019-01-02,7860,7860,7670,7760,1103106,ACB
1,2019-01-03,6990,7630,6900,7470,1956382,ACB
2,2019-01-04,7440,7670,7430,7520,2771983,ACB
3,2019-01-07,7680,7660,7560,7620,1305819,ACB
4,2019-01-08,8340,8320,7550,7570,846226,ACB
5,2019-01-09,7600,7770,7610,7700,2196358,ACB
6,2019-01-10,7700,7710,7660,7680,1378687,ACB
7,2019-01-11,7700,7710,7630,7680,1250077,ACB
8,2019-01-14,7650,7660,7610,7620,937155,ACB
9,2019-01-15,7490,7770,7070,7730,901146,ACB
10,2019-01-16,7730,7730,7600,7650,509354,ACB
11,2019-01-17,7680,7720,7640,7680,737519,ACB
12,2019-01-18,7700,7680,7520,7600,1412966,ACB
13,2019-01-21,7620,8020,7670,7840,2079830,ACB
14,2019-01-22,7890,7830,7640,7730,1845725,ACB
15,2019-01-23,7700,7770,7690,7730,1160094,ACB
16,2019-01-24,7760,7820,7690,7760,1743450,ACB
17,2019-01-25,7920,7880,7700,7760,836534,ACB
18,2019-01-28,7760,7760,7420,7680,997088,ACB
19,2019-01-29,7650,7780,7670,7700,1091518,ACB
20,2019-01-30,8240,8240,7700,7780,1565464,ACB
21,2019-01-31,7860,7870,7740,7810,1674668,ACB
22,2019-02-01,7810,7880,7800,7840,781100,ACB
23,2019-02-11,7920,8290,7940,8020,1713857,ACB
24,2019-02-12,8020,8150,8039,8100,2059630,ACB
25,2019-02-13,8130,8160,8060,8100,2093177,ACB
26,2019-02-14,8100,8050,7950,8000,1357835,ACB
27,2019-02-15,8000,8100,7990,8020,2176902,ACB
28,2019-02-18,8020,8100,8020,8080,1908779,ACB
29,2019-02-19,8100,8070,7990,8050,2754758,ACB
30,2019-02-20,8050,8119,8039,8080,1693486,ACB
31,2019-02-21,8080,8080,7920,8000,2970459,ACB
32,2019-02-22,8020,8200,7980,8100,3974330,ACB
33,2019-02-25,8160,8330,8090,8240,3874034,ACB
34,2019-02-26,8180,8290,8130,8180,2277127,ACB
35,2019-02-27,8180,8189,8080,8130,1544839,ACB
36,2019-02-28,8180,8060,7770,7890,3793504,ACB
37,2019-03-01,7920,8029,7870,7970,1478830,ACB
38,2019-03-04,7970,8180,8020,8080,3120806,ACB
39,2019-03-05,8080,8130,7970,8050,2465893,ACB
40,2019-03-06,8020,8119,8010,8050,1178516,ACB
41,2019-03-07,8080,8140,8039,8100,3301746,ACB
42,2019-03-08,8080,8119,8020,8050,1416810,ACB
43,2019-03-11,8050,8160,8050,8080,1032198,ACB
44,2019-03-12,8100,8330,8160,8210,2504257,ACB
45,2019-03-13,8260,8430,8220,8340,5473410,ACB
46,2019-03-14,8340,8480,8290,8370,2333220,ACB
47,2019-03-15,8400,8480,8350,8420,2649931,ACB
48,2019-03-18,8450,8540,8400,8480,3739699,ACB
49,2019-03-19,8500,8430,8220,8320,2828856,ACB
50,2019-03-20,8340,8330,8140,8240,3143264,ACB
51,2019-03-21,8240,8200,7940,8080,2939770,ACB
52,2019-03-22,8080,8150,8070,8100,1819172,ACB
53,2019-03-25,8080,8109,7970,8000,2275202,ACB
54,2019-03-26,8020,8080,8000,8050,1540206,ACB
55,2019-03-27,8080,8130,8029,8080,856984,ACB
56,2019-03-28,8080,8090,8010,8050,1366727,ACB
57,2019-03-29,8050,8090,8010,8050,1915257,ACB
58,2019-04-01,8050,8070,8020,8050,751744,ACB
59,2019-04-02,8100,8109,8000,8050,1184570,ACB
60,2019-04-03,8100,8090,7930,8000,1394796,ACB
61,2019-04-04,7940,8060,7960,8020,1091143,ACB
62,2019-04-05,8020,8070,7990,8020,767879,ACB
63,2019-04-08,8020,8260,8080,8180,2224599,ACB
64,2019-04-09,8180,8150,8020,8100,1801683,ACB
65,2019-04-10,8050,8050,7970,8020,868574,ACB
66,2019-04-11,8130,8150,8020,8050,905666,ACB
67,2019-04-12,8020,8070,7990,8020,1051329,ACB
68,2019-04-16,8020,8020,7920,7970,1328836,ACB
69,2019-04-17,8000,8000,7900,7940,688254,ACB
70,2019-04-18,7780,7950,7770,7890,1019057,ACB
71,2019-04-19,7920,7900,7820,7860,599302,ACB
72,2019-04-22,7890,7890,7730,7780,1362678,ACB
73,2019-04-23,7810,8000,7790,7860,1651748,ACB
74,2019-04-24,7890,8109,7920,8000,1062284,ACB
75,2019-04-25,8000,8029,7900,7970,745480,ACB
76,2019-04-26,7970,8039,7960,8000,1123078,ACB
77,2019-05-02,8020,7980,7830,7890,1134878,ACB
78,2019-05-03,7920,8000,7950,7970,1115126,ACB
79,2019-05-06,7970,7920,7760,7810,1381176,ACB
80,2019-05-07,7970,7990,7780,7840,869471,ACB
81,2019-05-08,7780,7910,7780,7840,1019991,ACB
82,2019-05-09,7810,7790,7690,7730,603773,ACB
83,2019-05-10,7730,7840,7730,7780,646916,ACB
84,2019-05-13,7810,7820,7720,7760,913337,ACB
85,2019-05-14,7760,7810,7700,7730,1601854,ACB
86,2019-05-15,7730,7910,7750,7840,1290890,ACB
87,2019-05-16,7860,7830,7730,7780,1467241,ACB
88,2019-05-17,7780,7790,7740,7760,852070,ACB
89,2019-05-20,7780,7830,7720,7780,675438,ACB
90,2019-05-21,7810,7860,7750,7810,1385291,ACB
91,2019-05-22,7810,7910,7780,7860,1274690,ACB
92,2019-05-23,7940,7990,7800,7840,630966,ACB
93,2019-05-24,7230,7820,7210,7760,891367,ACB
94,2019-05-27,7730,7750,7700,7700,911886,ACB
95,2019-05-28,7700,7740,7660,7680,941132,ACB
96,2019-05-29,7680,7850,7720,7760,1083726,ACB
